name arrivalTime executionTime cpu
t1497 11 8 4
t1498 12 7 1
t1499 19 10 3
t1500 13 7 8
t1501 13 8 10
t1502 5 10 4
t1503 9 10 7
t1504 17 7 5
t1505 19 7 8
t1506 1 6 6
t1507 17 7 4
t1508 0 8 3
t1509 14 10 1
t1510 7 7 2
t1511 14 8 9
t1512 0 9 2
t1513 16 10 4
t1514 14 6 9
t1515 9 5 3
t1516 6 10 8
t1517 1 10 8
t1518 8 6 3
t1519 16 10 10
t1520 1 6 6
t1521 7 10 9
t1522 11 8 3
t1523 14 7 6
t1524 12 5 1
t1525 8 8 5
t1526 19 7 8
t1527 9 7 7
t1528 15 8 3
t1529 1 6 7
t1530 11 6 3
t1531 3 7 5
t1532 8 10 5
t1533 5 10 7
t1534 9 10 6
t1535 5 6 5
t1536 10 8 9
t1537 1 9 7
t1538 3 5 1
t1539 11 9 4
t1540 0 10 5
t1541 10 8 3
t1542 2 9 10
t1543 19 5 9
t1544 4 9 1
t1545 4 8 5
t1546 18 5 8
t1547 8 7 7
t1548 10 7 10
t1549 7 5 6
t1550 4 7 5
t1551 8 10 5
t1552 4 8 9
t1553 7 6 4
t1554 14 9 2
t1555 3 8 4
t1556 7 5 8
t1557 9 5 8
t1558 4 9 4
t1559 2 9 6
t1560 12 10 8
t1561 2 6 4
t1562 13 7 9
t1563 3 7 10
t1564 10 8 9
t1565 9 8 1
t1566 10 5 7
t1567 9 8 3
t1568 2 8 10
t1569 9 10 10
t1570 3 7 1
t1571 18 8 3
t1572 11 5 8
t1573 6 9 3
t1574 13 6 10
t1575 5 6 6
t1576 14 5 3
t1577 9 10 5
t1578 17 9 5
t1579 9 6 6
t1580 6 10 5
t1581 14 5 8
t1582 18 9 2
t1583 15 7 8
t1584 15 6 7
t1585 7 10 9
t1586 18 10 5
t1587 8 9 5
t1588 15 7 7
t1589 8 9 5
t1590 17 6 4
t1591 3 7 4
t1592 7 9 10
t1593 1 8 6
t1594 8 7 1
t1595 12 9 5
t1596 0 5 4
t1597 7 5 6
t1598 17 6 10
t1599 11 5 7
t1600 5 5 1
t1601 19 8 10
t1602 9 10 4
t1603 19 9 5
t1604 12 10 5
t1605 7 10 4
t1606 8 8 1
t1607 10 8 9
t1608 13 10 7
t1609 5 10 3
t1610 15 7 3
t1611 4 5 6
t1612 1 9 8
t1613 13 10 8
t1614 1 6 4
t1615 7 5 9
t1616 4 6 8
t1617 9 8 6
t1618 0 10 1
t1619 19 9 5
t1620 13 8 10
t1621 13 8 5
t1622 15 6 9
t1623 1 7 1
t1624 12 10 7
t1625 10 7 1
t1626 6 9 7
t1627 0 10 10
t1628 11 5 4
t1629 1 8 1
t1630 14 10 7
t1631 5 7 7
t1632 8 10 10
t1633 13 5 4
t1634 13 8 6
t1635 8 8 9
t1636 8 5 8
t1637 18 5 6
t1638 10 6 6
t1639 15 10 1
t1640 15 5 2
t1641 18 10 5
t1642 2 7 8
t1643 9 9 7
t1644 1 9 8
t1645 19 8 4
t1646 4 7 10
t1647 8 10 2
t1648 1 5 2
t1649 2 10 6
t1650 12 8 4
t1651 19 7 2
t1652 13 9 4
t1653 16 5 10
t1654 8 7 1
t1655 10 5 1
t1656 0 7 1
t1657 19 9 4
t1658 9 9 7
t1659 12 8 9
t1660 7 8 6
t1661 5 9 4
t1662 17 6 4
t1663 8 6 8
t1664 12 8 2
t1665 10 9 6
t1666 14 9 10
t1667 7 6 7
t1668 6 7 7
t1669 14 10 1
t1670 11 5 9
t1671 10 9 5
t1672 18 8 10
t1673 16 9 2
t1674 9 5 7
t1675 3 7 4
t1676 10 8 4
t1677 16 8 2
t1678 11 9 2
t1679 17 5 9
t1680 0 10 4
t1681 13 6 2
t1682 4 9 8
t1683 9 7 3
t1684 2 6 5
t1685 2 5 3
t1686 18 8 7
t1687 5 7 8
t1688 1 9 8
t1689 0 9 1
t1690 2 9 7
t1691 9 6 9
t1692 14 6 5
t1693 2 9 6
t1694 16 8 2
t1695 15 7 7
t1696 13 6 8
t1697 4 10 8
t1698 5 8 7
t1699 9 7 2
t1700 13 5 10
t1701 16 10 2
t1702 5 10 6
t1703 0 6 6
t1704 9 9 3
t1705 2 6 8
t1706 5 10 3
t1707 10 5 5
t1708 12 7 9
t1709 7 9 3
t1710 14 7 3
t1711 0 6 3
t1712 1 7 8
t1713 6 9 9
t1714 4 8 9
t1715 0 9 3
t1716 1 10 3
t1717 7 10 6
t1718 18 6 8
t1719 10 6 3
t1720 2 5 7
t1721 14 5 9
t1722 6 6 9
t1723 1 5 1
t1724 7 10 2
t1725 10 10 6
t1726 6 7 10
t1727 0 9 4
t1728 14 7 1
t1729 6 8 4
t1730 0 7 8
t1731 0 6 3
t1732 4 10 4
t1733 15 10 3
t1734 9 10 5
t1735 12 5 5
t1736 17 10 2
t1737 12 10 1
t1738 13 6 1
t1739 8 10 4
t1740 9 9 5
t1741 10 7 4
t1742 5 10 4
t1743 6 7 9
t1744 16 9 3
t1745 13 9 1
t1746 6 9 7
t1747 9 8 6
t1748 7 8 8
t1749 6 8 6
t1750 7 7 1
t1751 14 8 4
t1752 5 10 3
t1753 3 8 6
t1754 17 8 6
t1755 0 7 5
t1756 3 5 5
t1757 15 10 5
t1758 5 6 9
t1759 0 8 10
t1760 7 10 4
t1761 1 9 4
t1762 14 7 2
t1763 9 8 3
t1764 1 9 4
t1765 0 7 1
t1766 10 8 5
t1767 9 7 7
t1768 2 7 5
t1769 14 5 8
t1770 4 7 9
t1771 4 10 3
t1772 0 9 10
t1773 9 10 2
t1774 19 9 5
t1775 4 6 4
t1776 16 7 10
t1777 1 6 9
t1778 7 6 10
t1779 17 6 10
t1780 7 5 7
t1781 6 8 9
t1782 1 7 8
t1783 19 6 8
t1784 16 7 5
t1785 9 5 1
t1786 9 5 3
t1787 15 7 6
t1788 2 7 3
t1789 8 10 6
t1790 10 7 8
t1791 1 7 7
t1792 5 9 6
t1793 16 5 1
t1794 12 6 3
t1795 8 6 2
t1796 15 7 7
t1797 17 7 2
t1798 15 9 6
t1799 11 7 1
t1800 2 6 8
t1801 10 6 9
t1802 9 7 8
t1803 13 8 10
t1804 17 7 7
t1805 0 10 3
t1806 8 7 4
t1807 17 7 3
t1808 15 10 4
t1809 18 6 10
t1810 9 9 2
t1811 12 10 7
t1812 18 10 1
t1813 7 9 6
t1814 13 5 8
t1815 17 6 10
t1816 5 8 5
t1817 15 8 3
t1818 18 10 1
t1819 4 8 4
t1820 2 9 5
t1821 9 9 6
t1822 7 10 7
t1823 6 7 5
t1824 4 6 5
t1825 15 7 9
t1826 14 10 5
t1827 7 5 9
t1828 1 6 4
t1829 5 8 4
t1830 6 10 9
t1831 8 10 10
t1832 5 7 2
t1833 14 6 7
t1834 18 9 4
t1835 11 8 2
t1836 9 7 9
t1837 12 5 2
t1838 10 6 1
t1839 5 8 7
t1840 18 5 8
t1841 10 8 3
t1842 18 9 6
t1843 7 5 4
t1844 3 6 4
t1845 12 10 5
t1846 17 9 9
t1847 6 10 2
t1848 19 5 3
t1849 15 7 6
t1850 2 10 6
t1851 14 7 2
t1852 11 7 10
t1853 10 10 7
t1854 15 6 7
t1855 7 10 6
t1856 17 8 3
t1857 11 5 6
t1858 17 5 1
t1859 17 8 5
t1860 6 10 1
t1861 14 6 10
t1862 16 5 3
t1863 7 6 5
t1864 4 9 4
t1865 4 8 7
t1866 2 6 3
t1867 9 10 4
t1868 3 9 6
t1869 11 9 2
t1870 14 6 9
t1871 19 6 3
t1872 4 5 3
t1873 4 9 6
t1874 0 10 10
t1875 16 9 6
t1876 13 10 4
t1877 0 10 3
t1878 9 9 8
t1879 12 10 9
t1880 9 6 10
t1881 4 7 4
t1882 2 6 1
t1883 7 7 4
t1884 7 10 5
t1885 19 5 10
t1886 1 7 3
t1887 7 9 4
t1888 9 8 5
t1889 19 5 5
t1890 18 9 1
t1891 14 9 5
t1892 12 7 3
t1893 8 5 2
t1894 3 10 2
t1895 5 9 5
t1896 6 6 7
t1897 7 6 5
t1898 16 9 6
t1899 17 8 9
t1900 2 7 1
t1901 6 8 3
t1902 18 6 4
t1903 2 6 3
t1904 0 6 2
t1905 3 10 1
t1906 5 9 7
t1907 2 7 3
t1908 2 6 8
t1909 8 5 2
t1910 19 7 4
t1911 13 8 2
t1912 10 5 9
t1913 0 9 2
t1914 10 6 8
t1915 13 9 5
t1916 3 8 2
t1917 17 7 4
t1918 15 6 7
t1919 5 5 9
t1920 17 7 10
t1921 8 9 10
t1922 6 8 9
t1923 13 8 7
t1924 8 5 7
t1925 18 9 7
t1926 3 6 2
t1927 5 9 2
t1928 8 8 8
t1929 6 6 8
t1930 4 7 2
t1931 0 9 3
t1932 4 7 1
t1933 2 9 5
t1934 18 7 8
t1935 1 9 8
t1936 12 6 9
t1937 2 5 1
t1938 18 10 8
t1939 18 9 4
t1940 14 6 8
t1941 7 5 8
t1942 10 7 1
t1943 6 7 5
t1944 7 6 2
t1945 4 10 6
t1946 15 10 6
t1947 9 6 3
t1948 9 7 4
t1949 3 5 3
t1950 12 6 5
t1951 13 9 4
t1952 8 8 6
t1953 6 10 2
t1954 11 10 5
t1955 19 7 10
t1956 17 6 7
t1957 5 7 6
t1958 4 9 9
t1959 18 10 10
t1960 4 9 5
t1961 13 5 7
t1962 1 5 1
t1963 9 6 8
t1964 8 8 5
t1965 4 7 3
t1966 3 6 5
t1967 11 7 1
t1968 4 5 9
t1969 8 10 3
t1970 7 8 8
t1971 1 6 4
t1972 8 6 10
t1973 3 5 4
t1974 18 6 7
t1975 5 8 2
t1976 18 5 4
t1977 2 6 10
t1978 6 5 8
t1979 15 6 3
t1980 10 5 9
t1981 8 5 6
t1982 11 6 3
t1983 12 7 4
t1984 17 5 5
t1985 8 5 10
t1986 15 9 1
t1987 10 6 9
t1988 17 10 5
t1989 2 5 8
t1990 5 9 8
t1991 6 5 6
t1992 14 6 6
t1993 13 7 6
t1994 5 8 3
t1995 6 5 2
t1996 14 6 7
t1997 0 5 3
t1998 12 6 9
t1999 15 8 1
